id,achievement_key,category,tier,display_order,title_id,title_en,description_id,criteria_summary_id,trigger_rule_key,metric_key,comparator,threshold_value,threshold_unit,scope_key,repeatability,repeat_limit,prerequisite_achievement_keys,reward_xp,reward_coins,reward_item_key,badge_icon_key,title_reward_key,rarity,hidden_until_unlocked,recommended_for_mvp,open_badges_compatible,open_badge_achievement_type,evidence_type,tags,source_url,notes
ach_n5_078,listening_100,listening,gold,78,100 Listening Kelar,100 Listening Kelar,Selesaikan 100 latihan listening.,Complete 100 listening tasks.,trigger_listening_100,listening_tasks_completed,>=,100,count,global,once,1,,500,100,,badge_listening_100,,common,false,true,true,Achievement,system_metric,listening,https://www.1edtech.org/standards/open-badges,
ach_n5_079,mock_vocab_pass,mock_test,silver,79,Vocab Section Pass,Vocab Section Pass,Lulus mini mock vocabulary.,Pass vocabulary mock section.,trigger_mock_vocab_pass,mock_vocab_score,>=,70,percent,global,once,1,,200,40,,badge_mock_vocab_pass,,common,false,true,true,Achievement,system_metric,"mock,vocab",https://www.jlpt.jp/sp/e/guideline/testsections.html,
ach_n5_080,mock_grammar_reading_pass,mock_test,gold,80,Grammar Reading Pass,Grammar Reading Pass,Lulus mini mock grammar+reading.,Pass grammar and reading mock section.,trigger_mock_grammar_reading_pass,mock_grammar_reading_score,>=,70,percent,global,once,1,,300,60,,badge_mock_grammar_reading_pass,,common,false,true,true,Achievement,system_metric,"mock,grammar,reading",https://www.jlpt.jp/sp/e/guideline/testsections.html,
ach_n5_081,mock_listening_pass,mock_test,gold,81,Listening Pass,Listening Pass,Lulus mini mock listening.,Pass listening mock section.,trigger_mock_listening_pass,mock_listening_score,>=,70,percent,global,once,1,,300,60,,badge_mock_listening_pass,,common,false,true,true,Achievement,system_metric,"mock,listening",https://www.jlpt.jp/sp/e/guideline/testsections.html,
ach_n5_082,mock_full_pass,mock_test,platinum,82,Mock N5 Passed,Mock N5 Passed,Lulus full mock test N5.,Pass full N5 mock test.,trigger_mock_full_pass,full_mock_score,>=,70,percent,global,once,1,,700,150,avatar_mock_pass,badge_mock_full_pass,,epic,false,true,true,Achievement,system_metric,"mock,n5",https://www.jlpt.jp/sp/e/guideline/testsections.html,
ach_n5_083,n5_ready,mock_test,legendary,83,N5 Ready,N5 Ready,Semua milestone utama selesai dan mock lulus.,Complete all major milestones and pass mock.,trigger_n5_ready,n5_readiness_score,>=,100,percent,global,once,1,,1200,300,avatar_n5_ready,badge_n5_ready,title_n5_ready,legendary,false,true,true,Achievement,system_metric,"n5,final",https://www.jlpt.jp/sp/e/guideline/testsections.html,
ach_n5_084,night_owl,fun,secret,84,Burung Hantu Belajar,Burung Hantu Belajar,Belajar setelah jam 22:00 sebanyak 10 kali.,Study after 22:00 ten times.,trigger_night_owl,late_night_sessions,>=,10,count,global,once,1,,100,20,,badge_night_owl,,secret,true,false,true,Achievement,system_metric,"secret,fun",https://www.1edtech.org/standards/open-badges,
ach_n5_085,comeback_kid,fun,silver,85,Comeback Kid,Comeback Kid,Kembali belajar setelah break 7+ hari.,Return after 7+ inactive days.,trigger_comeback_kid,comeback_after_break_count,>=,1,count,global,once,1,,150,30,,badge_comeback_kid,,uncommon,true,true,true,Achievement,system_metric,"habit,comeback",https://www.1edtech.org/standards/open-badges,
ach_n5_086,mistake_to_mastery,fun,gold,86,Dari Salah Jadi Sah,Dari Salah Jadi Sah,Benarkan 50 item yang sebelumnya sering salah.,Master 50 previously missed items.,trigger_mistake_to_mastery,previous_mistakes_mastered,>=,50,count,global,once,1,,300,60,,badge_mistake_to_mastery,,rare,false,true,true,Achievement,system_metric,"mastery,mistakes",https://www.1edtech.org/standards/open-badges,
ach_n5_087,romaji_off,challenge,silver,87,Romaji? Kita Putus,Romaji? Kita Putus,Belajar 7 hari dengan romaji hidden.,Study 7 days with romaji hidden.,trigger_romaji_off,romaji_hidden_days,>=,7,days,global,once,1,,200,40,,badge_romaji_off,,common,false,false,true,Achievement,system_metric,"challenge,kana",https://www.1edtech.org/standards/open-badges,
